filename,plate,well,site,channel,timepoint,compound,dose,control,subdir_folder,zslice
E-07_F0002_T0001_Z0001_C03,1,E-07,2,CL488-2,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0013_Z0001_C03,1,D-06,1,CL488-2,T0013,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0001_Z0001_C04,1,E-07,1,CL561,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0097_Z0001_C04,1,E-07,2,CL561,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0121_Z0001_C02,1,C-07,2,CL488,T0121,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0025_Z0001_C02,1,C-05,1,CL488,T0025,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0103_Z0001_C01,1,E-07,1,Hoechst,T0103,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0013_Z0001_C02,1,D-06,2,CL488,T0013,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0103_Z0001_C03,1,C-06,2,CL488-2,T0103,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0031_Z0001_C02,1,D-07,1,CL488,T0031,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0103_Z0001_C04,1,C-06,1,CL561,T0103,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0002_T0031_Z0001_C01,1,D-07,2,Hoechst,T0031,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0043_Z0001_C01,1,C-06,1,Hoechst,T0043,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0007_Z0001_C01,1,C-05,2,Hoechst,T0007,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0103_Z0001_C03,1,C-07,1,CL488-2,T0103,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0079_Z0001_C04,1,E-07,2,CL561,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0103_Z0001_C02,1,C-07,2,CL488,T0103,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0031_Z0001_C01,1,D-08,1,Hoechst,T0031,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0007_Z0001_C02,1,C-05,1,CL488,T0007,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
